,1st_committer,committers
33,Gabriel Caruso,"['Gabriel Caruso', 'Luís Cobucci', 'racheldomingo', 'beberlei', 'chtito', 'Fabio B. Silva', 'jeroendedauw', 'Daniel Wehner', 'piccoloprincipe', 'Jordi Boggiano', 'Benjamin Morel', 'lsmith', 'romanb', 'runa', 'Ondrej Mirtes', 'Jonathan.Wage', 'jepso', 'roger', 'Johannes', 'jwage', 'Sam', 'David Abdemoulaie', 'Alexander', 'ace', 'Michael Moravec', 'zYne', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
34,Nanne Baars,"['Nanne Baars', 'Dennis Birkholz', 'P.I.E. Security Team', 'Paragon Initiative Enterprises, LLC', 'Aidan Woods', 'Ryan Littlefield', 'minus', 'Carnage', 'Oleg Lobanov', 'carnage', 'Hans Ott', 'Dustin Masters', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
35,Dennis Birkholz,"['Dennis Birkholz', 'P.I.E. Security Team', 'Paragon Initiative Enterprises, LLC', 'Aidan Woods', 'Ryan Littlefield', 'minus', 'Carnage', 'Oleg Lobanov', 'carnage', 'Hans Ott', 'Dustin Masters', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
36,P.I.E. Security Team,"['P.I.E. Security Team', 'Paragon Initiative Enterprises, LLC', 'Aidan Woods', 'Ryan Littlefield', 'minus', 'Carnage', 'Oleg Lobanov', 'carnage', 'Hans Ott', 'Dustin Masters', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
37,"Paragon Initiative Enterprises, LLC","['Paragon Initiative Enterprises, LLC', 'Aidan Woods', 'Ryan Littlefield', 'minus', 'Carnage', 'Oleg Lobanov', 'carnage', 'Hans Ott', 'Dustin Masters', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
38,Aidan Woods,"['Aidan Woods', 'Ryan Littlefield', 'minus', 'Carnage', 'Oleg Lobanov', 'carnage', 'Hans Ott', 'Dustin Masters', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
39,Ryan Littlefield,"['Ryan Littlefield', 'minus', 'Carnage', 'Oleg Lobanov', 'carnage', 'Hans Ott', 'Dustin Masters', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
40,minus,"['minus', 'Carnage', 'Oleg Lobanov', 'carnage', 'Hans Ott', 'Dustin Masters', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
41,Carnage,"['Carnage', 'Oleg Lobanov', 'carnage', 'Hans Ott', 'Dustin Masters', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
42,Oleg Lobanov,"['Oleg Lobanov', 'carnage', 'Hans Ott', 'Dustin Masters', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
43,carnage,"['carnage', 'Hans Ott', 'Dustin Masters', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
44,Hans Ott,"['Hans Ott', 'Dustin Masters', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
45,Dustin Masters,"['Dustin Masters', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
46,Instrye,"['Instrye', 'rainays', 'AaronLiu', 'LinEvil', 'HFO4', 'Yuanuo', 'AxtonYao', 'Samuel NELA', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
47,rainays,"['rainays', 'AaronLiu', 'LinEvil', 'HFO4', 'Yuanuo', 'AxtonYao', 'Samuel NELA', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
48,AaronLiu,"['AaronLiu', 'LinEvil', 'HFO4', 'Yuanuo', 'AxtonYao', 'Samuel NELA', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
49,LinEvil,"['LinEvil', 'HFO4', 'Yuanuo', 'AxtonYao', 'Samuel NELA', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
50,HFO4,"['HFO4', 'Yuanuo', 'AxtonYao', 'Samuel NELA', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
51,Yuanuo,"['Yuanuo', 'AxtonYao', 'Samuel NELA', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
