,1st_committer,committers
20,Humberto Pinheiro,"['Humberto Pinheiro', 'Baruch Rutman', 'Naruto Mouri', 'Matthew Justice', 'Josh Soref', 'Pascal Borreli', 'Microsoft Open Source', 'Mingjie Chen', 'MouriNaruto', 'carlo-bramini', 'Techokami', 'Malcolm Smith', 'Mateus Rodrigues de Morais', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
21,Baruch Rutman,"['Baruch Rutman', 'Naruto Mouri', 'Matthew Justice', 'Josh Soref', 'Pascal Borreli', 'Microsoft Open Source', 'Mingjie Chen', 'MouriNaruto', 'carlo-bramini', 'Techokami', 'Malcolm Smith', 'Mateus Rodrigues de Morais', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
22,Naruto Mouri,"['Naruto Mouri', 'Matthew Justice', 'Josh Soref', 'Pascal Borreli', 'Microsoft Open Source', 'Mingjie Chen', 'MouriNaruto', 'carlo-bramini', 'Techokami', 'Malcolm Smith', 'Mateus Rodrigues de Morais', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
23,Matthew Justice,"['Matthew Justice', 'Josh Soref', 'Pascal Borreli', 'Microsoft Open Source', 'Mingjie Chen', 'MouriNaruto', 'carlo-bramini', 'Techokami', 'Malcolm Smith', 'Mateus Rodrigues de Morais', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
24,Josh Soref,"['Josh Soref', 'Pascal Borreli', 'Microsoft Open Source', 'Mingjie Chen', 'MouriNaruto', 'carlo-bramini', 'Techokami', 'Malcolm Smith', 'Mateus Rodrigues de Morais', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
25,Pascal Borreli,"['Pascal Borreli', 'Microsoft Open Source', 'Mingjie Chen', 'MouriNaruto', 'carlo-bramini', 'Techokami', 'Malcolm Smith', 'Mateus Rodrigues de Morais', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
26,Microsoft Open Source,"['Microsoft Open Source', 'Mingjie Chen', 'MouriNaruto', 'carlo-bramini', 'Techokami', 'Malcolm Smith', 'Mateus Rodrigues de Morais', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
27,Mingjie Chen,"['Mingjie Chen', 'MouriNaruto', 'carlo-bramini', 'Techokami', 'Malcolm Smith', 'Mateus Rodrigues de Morais', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
28,MouriNaruto,"['MouriNaruto', 'carlo-bramini', 'Techokami', 'Malcolm Smith', 'Mateus Rodrigues de Morais', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
29,carlo-bramini,"['carlo-bramini', 'Techokami', 'Malcolm Smith', 'Mateus Rodrigues de Morais', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
30,Techokami,"['Techokami', 'Malcolm Smith', 'Mateus Rodrigues de Morais', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
31,Malcolm Smith,"['Malcolm Smith', 'Mateus Rodrigues de Morais', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
32,Mateus Rodrigues de Morais,"['Mateus Rodrigues de Morais', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
33,,[None]
34,MAQIL Abdelmouttalib,"['MAQIL Abdelmouttalib', 'Theodore Dubois', 'David Butler', 'fierydrake', 'David Grayson', 'Steve Tranby', 'Martin Cavanagh', 'jose nazario', 'Per Vognsen', 'Lior David', 'Alexandru-Paul Copil', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
